,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
126,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-15.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-07T00:00:00Z,2017-70106-17.pdf
127,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-III-500-0,1,",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-09-08T00:00:00Z,2014-57709-14.pdf
128,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-150-0,1,",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-09-08T00:00:00Z,2014-57709-14.pdf
129,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-IIIМ-4.2- УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-08T00:00:00Z,2017-70106-17.pdf
130,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-12.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-08T00:00:00Z,2017-70106-17.pdf
131,48026-11,Весы лабораторные,,ВК-1500.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-08T00:00:00Z,2021-48026-11.pdf
132,56796-14,Весы неавтоматического действия,,HL-400,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-09-08T00:00:00Z,2014-56796-14.pdf
133,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,"Drivesafe II,",Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-09-08T00:00:00Z,2016-53543-13.pdf
134,48026-11,Весы лабораторные,,ВК-150.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-09T00:00:00Z,2021-48026-11.pdf
135,56796-14,Весы неавтоматического действия,,нет модификации,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-09-09T00:00:00Z,2014-56796-14.pdf
136,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-29УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-09T00:00:00Z,2017-70106-17.pdf
137,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-III-4.1- УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-10T00:00:00Z,2017-70106-17.pdf
138,26510-09,Трансформаторы тока,,IOSK 245,IOSK 123/245/362/550,,,"Фирма ""Trench France SAS"", Франция",2020-09-10T00:00:00Z,2015-26510-09.pdf
139,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-20.1УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-10T00:00:00Z,2017-70106-17.pdf
140,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-3.1- УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-10T00:00:00Z,2017-70106-17.pdf
141,59946-15,GNSS-приемники спутниковые геодезические многочастотные,,1M,TRIUMPH-1М,,,"Фирма ""Javad GNSS Inc."", США",2020-09-10T00:00:00Z,2019-59946-15.pdf
142,52456-13,Электрокардиографы,,CardiMax FX-8322,"CardiMax, исп. FX-8222, FX-8322, FX-8322R",,,"Фирма ""Fukuda Denshi Co., Ltd."", Япония",2020-09-10T00:00:00Z,2013-52456-13.pdf
143,71339-18,Приборы для измерения артериального давления и частоты пульса,,нет модификации,"А-21, А-23, PRO-30, PRO-33, PRO-35, PRO-36, MED-51, MED-53, MED-55, А-27, PRO-39, MED-57, MED-59",,,"Фирма ""B.Well Swiss AG"", Швейцария; Фирма ""Globalcare Medical Technology Co., Ltd."", Китай",2020-09-10T00:00:00Z,2019-71339-18.pdf
144,71339-18,Приборы для измерения артериального давления и частоты пульса,,Прибордля измерения артериального давления и частоты пульса PRO-35,"А-21, А-23, PRO-30, PRO-33, PRO-35, PRO-36, MED-51, MED-53, MED-55, А-27, PRO-39, MED-57, MED-59",,,"Фирма ""B.Well Swiss AG"", Швейцария; Фирма ""Globalcare Medical Technology Co., Ltd."", Китай",2020-09-10T00:00:00Z,2019-71339-18.pdf
145,14351-12,Счетчики газа мембранные,,G6-RF1,"G4-RF1, G6-RF1, G10",,,"Фирма ""Itron GmbH"", Германия",2020-09-10T00:00:00Z,2017-14351-12.pdf
146,64188-16,Индикаторы,,ИЧ-1,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-09-10T00:00:00Z,2016-64188-16.pdf
147,64188-16,Индикаторы,,ИЧ-2,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-09-10T00:00:00Z,2016-64188-16.pdf
148,53265-13,Преобразователи измерительные,,Rosemount 248,Rosemount 248,,,"ЗАО ""Промышленная группа ""Метран"", г.Челябинск",2020-09-11T00:00:00Z,2018-53265-13.pdf
149,12156-12,Дозиметры,,Нет модификации,ДБГ-06Т,,,"ОАО ""Механический завод"", г.С.-Петербург",2020-09-11T00:00:00Z,2012-12156-12.pdf
150,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-IIIМ-2.2 УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-13T00:00:00Z,2017-70106-17.pdf
151,64199-16,Тепловычислители,,Тепловычислитель СПТ944,СПТ944,,,"АО ""НПФ ""Логика"", г.С.-Петербург",2020-09-14T00:00:00Z,2016-64199-16-2.pdf
152,48026-11,Весы лабораторные,,Весы лабораторные ВК (мод. ВК-3000),ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-14T00:00:00Z,2021-48026-11.pdf
153,48026-11,Весы лабораторные,,мод. ВК-1500,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-14T00:00:00Z,2021-48026-11.pdf
154,70742-18,Шаблоны сварщика универсальные,,Нет модификации,УШС-3,,,"ООО НТЦ ""Эксперт"", г.Москва",2020-09-14T00:00:00Z,2018-70742-18.pdf
155,46512-11,Измерители длины материалов,,ИДМ-65ПВР,"ИДМ мод. ИДМ-20, ИДМ-30, ИДМ-65ПВВР, ИДМ-65ПВР, ИДМ-120",,,"ООО ""СМОЛ ЛТД"", г.С.-Петербург",2020-09-14T00:00:00Z,2016-46512-11.pdf
156,46512-11,Измерители длины материалов,,ИДМ-30,"ИДМ мод. ИДМ-20, ИДМ-30, ИДМ-65ПВВР, ИДМ-65ПВР, ИДМ-120",,,"ООО ""СМОЛ ЛТД"", г.С.-Петербург",2020-09-14T00:00:00Z,2016-46512-11.pdf
157,52456-13,Электрокардиографы,,CardiMax FX-8222,"CardiMax, исп. FX-8222, FX-8322, FX-8322R",,,"Фирма ""Fukuda Denshi Co., Ltd."", Япония",2020-09-14T00:00:00Z,2013-52456-13.pdf
158,70106-17,Трансформаторы тока,,"ТОЛ-СВЭЛ-10-М-15.1 УХЛ2,",ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-15T00:00:00Z,2017-70106-17.pdf
159,57874-14,Приборы для измерений параметров света фар автотранспортных средств,,Нет модификации,MLT 3000,,,"Фирма ""MAHA Maschinenbau Haldenwang GmbH & Co. KG"", Германия",2020-09-15T00:00:00Z,2019-57874-14.pdf
160,25347-11,Источники питания постоянного тока,,PSP-2010,"PSP-603, PSP-405, PSP-2010",,,"Фирма ""Good Will Instrument Co., Ltd."", Тайвань",2020-09-15T00:00:00Z,2016-25347-11.pdf
161,25347-11,Источники питания постоянного тока,,PSP-603,"PSP-603, PSP-405, PSP-2010",,,"Фирма ""Good Will Instrument Co., Ltd."", Тайвань",2020-09-15T00:00:00Z,2016-25347-11.pdf
162,48026-11,Весы лабораторные,,"ВК, модификации ВК-600.1",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-15T00:00:00Z,2021-48026-11.pdf
163,53258-13,Весы неавтоматического действия,,ME,ME/TLE/JE,,,"Фирма ""Mettler-Toledo Instruments (Shanghai) Co., Ltd."", Китай",2020-09-16T00:00:00Z,2013-53258-13.pdf
164,52095-12,Тепловизоры инфракрасные,,"FLUKE мод. Ti125,","Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-09-16T00:00:00Z,2012-52095-12.pdf
165,53543-13,Анализаторы паров этанола в выдыхаемом воздухе,,Нет модификации,Drivesafe II,,,"Фирма ""Alcohol Countermeasure Systems Corp."", Канада",2020-09-16T00:00:00Z,2016-53543-13.pdf
166,57709-14,"Штангенциркули торговой марки ""Калиброн""",,с отсчетом по нониусу двусторонний с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-09-16T00:00:00Z,2014-57709-14.pdf
167,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-125-0,05,",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-09-16T00:00:00Z,2014-57709-14.pdf
168,27264-11,Тахометры,,АТТ-6000,АТТ серии 6000,,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2020-09-16T00:00:00Z,2016-27264-11.pdf
169,53565-13,Генераторы сигналов произвольной формы,,33511В,"33509В, 33510В, 33511В, 33512В, 33519В, 33520В, 33521В, 33522В",,,"Фирма ""Agilent Technologies"", Малайзия",2020-09-16T00:00:00Z,2013-53565-13.pdf
170,15492-11,Комплексы для автоматизированной интегральной оценки функционального состояния сердечно-сосудистой системы,,исполнение КФС-01.001,Кардиометр-МТ,,,"АО ""Микард-Лана"", г.С.-Петербург",2020-09-16T00:00:00Z,2016-15492-11-1.pdf
171,52456-13,Электрокардиографы,,CardiMax исп. FX-8222,"CardiMax, исп. FX-8222, FX-8322, FX-8322R",,,"Фирма ""Fukuda Denshi Co., Ltd."", Япония",2020-09-17T00:00:00Z,2013-52456-13.pdf
172,55585-13,Измерители иммитанса,,"Е7-25М,","ПрофКИП Е7-14М, ПрофКИП Е7-20М, ПрофКИП Е7-23М, ПрофКИП Е7-24М, ПрофКИП Е7-25М",,,"ЗАО ""ПрофКИП"", г.Мытищи",2020-09-17T00:00:00Z,2018-55585-13.pdf
173,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-IIIМ-3.1 УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-17T00:00:00Z,2017-70106-17.pdf
174,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-IIIМ-4.2-УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-17T00:00:00Z,2017-70106-17.pdf
175,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-IIIМ УХЛ1,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-17T00:00:00Z,2017-70106-17.pdf
176,48026-11,Весы лабораторные,,"ВК, мод. ВК-1500.1",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-17T00:00:00Z,2021-48026-11.pdf
177,39998-08,Тонометры автоматические,,ТМ36.6,"TM ""36,6"" мод. HL-168FD",,,"Фирма ""Health & Life Co., Ltd."", Тайвань",2020-09-17T00:00:00Z,2008-39998-08.pdf
178,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-7- УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-17T00:00:00Z,2017-70106-17.pdf
179,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-10-М-21.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-18T00:00:00Z,2017-70106-17.pdf
180,57858-14,Твердомеры универсальные,,NOVOTEST Т,NOVOTEST Т,,,"ООО НТЦ ""Промтехнологии"", Украина, г.Новомосковск",2020-09-18T00:00:00Z,2014-57858-14.pdf
181,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-125-0,1,",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-09-18T00:00:00Z,2014-57709-14.pdf
182,48026-11,Весы лабораторные,,"ВК, мод. ВК-300.1",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-09-18T00:00:00Z,2021-48026-11.pdf
183,56105-13,Фотометры микропланшетные,,Anthos мод. 2020,"Anthos мод. 2010, 2020",,,"Фирма ""Biochrom Ltd."", Великобритания",2020-09-18T00:00:00Z,2014-56105-13.pdf
184,61877-15,Теплосчетчики,,Sanext Mono,Sanext серии М,,,"Фирма ""Zhejiang Joy Electronic Technology Co., Ltd. Company"", Китай",2020-09-18T00:00:00Z,2015-61877-15.pdf
185,27461-09,Анализаторы гематологические,,КХ-21N,KX-21N,,,"Фирма ""Sysmex Corporation"", Япония",2020-09-21T00:00:00Z,2009-27461-09.pdf
186,70106-17,Трансформаторы тока,,ТОЛ-СВЭЛ-35-III-3.1 УХЛ2,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2020-09-21T00:00:00Z,2017-70106-17.pdf
